Date,Time,Latitude,Longitude,Cell ID,Carrier RSSI Antenna Port 0,Carrier RSSI Antenna Port 1,Carrier RSSI Antenna Port 2,Carrier RSSI Antenna Port 3,DwPTS Symbol,UL/DL Config,Sync Signal - Timeoffset,Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,Ref Signal - Timeoffset,Ref Signal - Delay Spread,Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,PBCH-Received Power,PBCH-Received Quality,PBCH-CINR,PBCH-Block Error Rate,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,Loop Count,Absolute Time Stamp Date,Absolute Time Stamp Time,NID,Adjusted Ref Signal - Received Power,Antenna Gain,Cable Loss,MIB,SIB1,SI,Rank,Adjusted Ref Signal - Guard Period Power,Special Subframe Config,DwPTS,GP,UpPTS,Channel Style,Bandwidth,DSS,Frequency Offset,PCI Count,Status
07/07/2026,14:03:08:245,38.903461,-77.007583,496,-81,,,,,,287114,-110.8,-0.82,-111.64,-2.65,3.04,287128,5,-102.28,-6.8,12.4,-112.71,-1.03,5.71,0,,5,0,2,70,0,No,227951874,260,310,1,20438,1,0,False,,,4,,3,,,165;1,-102.28,0,0,A9180000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D90C00000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:04:13:019,38.903602,-77.007393,496,-73.5,,,,,,287122,-100.61,-0.11,-100.44,-0.17,14.59,287121,9,-104.95,-10.53,10.25,-104.99,-0.36,10.59,0,,5,0,2,154,0,No,227951874,260,310,1,20438,1,0,False,,,4,,4,,,165;1,-104.95,0,0,AA680000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D90D80000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:05:47:654,38.903743,-77.007202,496,-73.5,,,,,,287080,-106.42,-0.19,-107.07,-0.44,11.23,287110,8,-101.74,-8.66,16.36,-108.47,-0.39,10.21,0,,5,0,2,216,0,No,227951874,260,310,1,20438,1,0,False,,,4,,5,,,165;1,-101.74,0,0,AB600000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D90FC0000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:06:53:003,38.903883,-77.007012,496,-73.1,,,,,,287100,-92.02,0,-92.37,-0.02,23.99,287099,1,-93.71,-6.59,25.03,-96.67,-0.03,21.12,0,,5,0,2,58,0,No,227951874,260,310,1,20438,1,0,False,,,4,,6,,,165;1,-93.71,0,0,A8E80000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D91180000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:08:37:621,38.904355,-77.006319,496,-53.1,,,,,,287084,-74.24,-0.02,-74.29,-0.02,22.38,287084,2,-73.61,-6.23,28.49,-78.61,-0.02,23.17,0,,5,0,2,113,0,No,227951874,260,310,1,20438,1,0,False,,,4,,7,,,165;1,-73.61,0,0,A9C40000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D91400000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:09:49:907,38.903884,-77.007010,496,-75.2,,,,,,287076,-103.45,-0.16,-104.22,-0.44,11.51,287078,10,-97.09,-6.86,18.84,-105.94,-0.27,11.79,0,,5,0,2,128,0,No,227951874,260,310,1,20438,1,0,False,,,4,,8,,,165;1,-97.09,0,0,AA000000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D915C0000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:11:32:719,38.904298,-77.006485,496,-67.7,,,,,,287068,-90.59,-0.04,-90.41,-0.08,18.11,287067,2,-88.71,-6.28,23.36,-94.55,-0.07,17.3,0,,5,0,2,138,0,No,227951874,260,310,1,20438,1,0,False,,,4,,9,,,165;1,-88.71,0,0,AA280000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D91840000,,,,,,,,6,20 MHz,1,,1,11
07/07/2026,14:12:54:443,38.904166,-77.006710,496,-73.9,,,,,,287055,-91.15,-0.09,-91.21,-0.09,16.39,287057,8,-94.2,-6.64,21.09,-95.24,-0.07,17.77,0,,5,0,2,134,0,No,227951874,260,310,1,20438,1,0,False,,,4,,10,,,165;1,-94.2,0,0,AA180000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D91A40000,,,,,,,,6,20 MHz,1,,1,11
07/07/2026,14:14:40:124,38.904948,-77.005678,496,-70.7,,,,,,287047,-93.37,-0.07,-93.15,-0.11,16.7,287046,9,-92.44,-6.63,22.23,-98.66,-0.12,15.2,0,,5,0,2,215,0,No,227951874,260,310,1,20438,1,0,False,,,4,,11,,,165;1,-92.44,0,0,AB5C0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D91CC0000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:16:07:683,38.904343,-77.006513,496,-69.8,,,,,,287035,-86.79,-0.06,-86.55,-0.07,17.8,287035,5,-90.91,-6.4,18.75,-90.83,-0.07,17.64,0,,5,0,2,101,0,No,227951874,260,310,1,20438,1,0,False,,,4,,12,,,165;1,-90.91,0,0,A9940000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D91F00000,,,,,,,,6,20 MHz,1,,1,11
07/07/2026,14:17:51:625,38.904483,-77.006363,496,-56.6,,,,,,287026,-79.15,-0.13,-79.05,-0.17,14.46,287024,4,-78.53,-6.64,18.7,-80.56,-0.09,16.47,0,,5,0,2,139,0,No,227951874,260,310,1,20438,1,0,False,,,4,,13,,,165;1,-78.53,0,0,AA2C0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D92180000,,,,,,,,6,20 MHz,1,,1,11
07/07/2026,14:19:25:430,38.905220,-77.005392,496,-56.7,,,,,,287014,-82.39,-0.05,-81.77,-0.15,16.05,287012,5,-83.6,-6.87,16.5,-86.19,-0.21,12.94,0,,5,0,2,180,0,No,227951874,260,310,1,20438,1,0,False,,,4,,14,,,165;1,-83.6,0,0,AAD00000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D923C0000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:21:11:387,38.904368,-77.006567,496,-62.2,,,,,,286979,-89.77,-0.13,-96.81,-5.53,3.46,286998,4,-84.36,-6.64,13.65,-96.76,-3.37,-0.69,2.3E-06,,5,0,2,13,0,No,227951874,260,310,1,20438,1,0,False,,,4,,15,,,165;1,-84.36,0,0,A8340000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D92680000,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:22:49:870,38.904274,-77.006733,193,-62.41,,,,,,286964,-86.8,-0.55,-87.25,-0.98,7.14,286962,18,-90.59,-9.24,7.03,-90.8,-0.76,7.13,0,,5,0,2,171,0,No,33510401,260,310,1,20438,1,0,False,,,4,,16,,,64;1,-90.59,0,0,AAAC0000,684C424C14FD61FF540182350C6020610B089860DAB05CFE4A30100E016C9460,,,,,,,,6,20 MHz,1,,2,11
07/07/2026,14:24:36:038,38.903554,-77.007686,496,-58.61,,,,,,286954,-80.24,-0.48,-80.26,-0.81,7.88,286974,1,-81.37,-7,10.3,-82.14,-0.56,8.58,0,,5,0,2,9,0,No,227951874,260,310,1,20438,1,0,False,,,4,,17,,,165;1,-81.37,0,0,A8240000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D92B80000,,,,,,,,6,20 MHz,1,,2,11
